YearsExperience,EducationLevel,Salary
12.2,Bachelor,74683
16.0,Master,109561
13.5,PhD,48315
,Master,99366
8.8,Bachelor,53896
10.0,PhD,107377
8.9,,109950
,,87666
5.4,Bachelor,44271
1.1,Master,87672
13.4,PhD,66526
4.8,PhD,67063
17.9,Bachelor,98135
17.3,Master,120000
2.5,Bachelor,108143
3.0,Bachelor,87047
10.4,PhD,95379
12.6,Bachelor,120000
6.2,Master,87476
14.6,PhD,80055
,PhD,120000
7.2,Master,68004
1.5,Master,53000
15.3,Master,97148
5.1,Bachelor,47414
16.9,PhD,81386
9.0,PhD,74076
12.0,PhD,85930
17.6,PhD,120000
17.4,PhD,72074
8.1,Bachelor,68887
5.0,Master,55599
15.7,PhD,95691
9.2,Bachelor,115461
4.6,Master,83655
18.2,Master,57315
4.8,Master,98488
1.5,Bachelor,81646
1.4,Master,54610
12.8,Bachelor,72931
,PhD,82873
,PhD,120000
7.1,Master,108345
7.5,Bachelor,98458
13.9,Bachelor,115778
2.1,PhD,90755
18.7,Bachelor,110674
5.2,Bachelor,54274
20.0,Bachelor,84124
4.3,Bachelor,98417
15.7,PhD,85893
5.2,PhD,58291
2.5,PhD,75915
17.6,Bachelor,83897
17.3,PhD,78558
8.7,PhD,68626
14.3,,85999
11.6,Bachelor,104512
17.2,PhD,103314
7.0,Bachelor,107855
10.9,Bachelor,112122
10.2,Master,88124
7.7,PhD,66415
17.9,PhD,52754
4.2,,106882
3.8,PhD,51060
12.0,PhD,99182
13.5,PhD,82811
4.7,Master,117357
,Bachelor,69078
19.0,PhD,103515
5.7,PhD,62429
13.7,Master,70734
15.1,PhD,97279
9.5,Bachelor,120000
18.8,PhD,94674
,,113725
9.7,Bachelor,91174
11.8,Master,110121
14.2,Bachelor,85587
12.3,PhD,84110
17.7,Master,55664
7.8,Master,118231
6.7,Bachelor,120000
5.1,Bachelor,98159
1.7,PhD,67737
1.8,Master,58072
17.5,PhD,120000
13.9,Master,46511
13.6,PhD,119343
12.7,Master,73815
,Master,86498
10.1,Master,113690
17.5,PhD,63530
7.8,PhD,77763
18.6,,120000
14.3,PhD,102612
,Master,118711
11.7,PhD,107673
,Master,40000
3.6,Bachelor,58676
12.2,Master,79549
7.0,Master,78137
2.0,Master,78602
19.0,PhD,110258
13.2,Master,42194
17.7,Master,100381
,PhD,43942
7.8,PhD,54323
10.7,Master,80152
13.8,Master,120000
19.2,Master,56634
5.8,PhD,87592
17.6,,100286
18.6,Master,64887
,Master,91731
18.7,PhD,120000
8.6,Bachelor,93420
19.1,Bachelor,61227
14.4,,93616
1.8,Master,85709
18.2,PhD,55820
10.2,PhD,53450
9.7,PhD,58497
,Master,52950
,Bachelor,61590
9.9,PhD,79103
16.8,Bachelor,81585
1.3,Master,116727
6.2,PhD,92954
1.0,PhD,112444
8.9,Bachelor,85294
14.8,Bachelor,51601
,Master,78638
19.0,Master,103458
12.6,PhD,58319
,Master,49894
18.6,,71245
15.7,PhD,82918
11.9,Bachelor,66924
,PhD,67447
18.6,Master,64339
14.5,Master,101136
8.0,PhD,74829
14.5,Master,98652
1.8,Bachelor,88773
8.3,Master,90955
8.7,Master,53839
4.2,Bachelor,85482
1.4,Master,40000
3.5,Master,75540
13.4,Bachelor,93276
16.2,PhD,56820
19.8,Bachelor,72244
7.6,Master,59575
,Bachelor,60219
18.8,PhD,76811
4.2,Bachelor,120000
,Master,80178
15.3,Bachelor,78377
,Bachelor,86548
17.4,Master,99167
16.4,Master,119498
1.6,Bachelor,116983
2.7,Bachelor,103091
1.9,Bachelor,115198
7.4,Master,55201
10.7,Bachelor,94670
11.1,Bachelor,108434
6.1,Bachelor,93973
18.3,PhD,120000
8.0,PhD,49679
1.9,PhD,83499
6.7,Bachelor,118824
11.1,Bachelor,66339
8.8,PhD,112530
,Bachelor,40000
3.5,Master,100672
16.6,Master,120000
19.9,Master,80032
7.3,PhD,48753
8.3,Master,41371
12.7,Bachelor,120000
14.7,Bachelor,106992
8.4,,54930
,Bachelor,43162
11.6,Master,104474
9.6,Master,112456
13.3,Bachelor,43613
19.1,Bachelor,71545
16.1,PhD,103576
1.8,PhD,81232
7.3,PhD,114661
9.9,Bachelor,82685
7.0,PhD,104838
,PhD,89812
16.7,Bachelor,120000
,PhD,80202
19.8,PhD,70737
6.2,Bachelor,70326
17.6,Master,101426
15.6,Master,90546
,Bachelor,74715
14.9,Master,87699
3.0,Master,43187
16.0,PhD,49441
11.1,PhD,70410
,Master,89678
13.5,Bachelor,101917
13.2,Bachelor,115448
5.0,Master,120000
1.6,Bachelor,74183
9.2,PhD,106670
11.8,PhD,48394
17.7,Bachelor,47405
18.6,PhD,57883
11.0,PhD,88074
15.3,Master,67087
,Master,76890
15.2,Master,90439
4.9,Master,65033
8.1,Bachelor,92530
13.1,Bachelor,84166
1.3,Master,55573
14.7,Bachelor,40000
16.9,Master,61750
8.6,PhD,51873
9.5,Master,89341
17.2,Bachelor,109743
15.7,Bachelor,81382
6.5,PhD,83049
7.2,Master,112999
13.9,Bachelor,61656
11.7,Bachelor,50569
4.1,PhD,88108
6.9,PhD,96892
18.1,,96700
,PhD,96583
19.7,Bachelor,46877
15.6,PhD,85695
18.9,Master,60750
5.1,Master,105088
15.7,Bachelor,116590
,PhD,68281
,Master,56028
9.9,PhD,69382
7.6,PhD,50481
17.4,Master,65175
17.2,Master,85348
1.4,Bachelor,120000
,Bachelor,69725
8.0,Bachelor,54800
8.9,PhD,53783
16.8,PhD,52653
6.9,PhD,54742
18.9,PhD,114653
4.4,Master,44118
13.6,PhD,118127
13.8,Master,84896
5.8,PhD,90834
7.2,Bachelor,61611
16.9,Bachelor,105056
15.5,PhD,78161
7.3,Master,68037
,Bachelor,62499
2.2,Master,113404
5.0,Bachelor,64455
10.2,PhD,84864
2.6,Bachelor,68603
17.0,PhD,51965
14.6,Master,63041
18.9,PhD,64866
14.2,Bachelor,96404
,Bachelor,78408
11.5,PhD,105245
12.4,Bachelor,96107
19.6,PhD,68272
13.2,Master,92728
1.6,Bachelor,103764
14.8,PhD,101259
18.2,Master,90525
16.1,,112005
12.1,Master,48184
,Bachelor,107299
19.8,PhD,70126
2.7,Bachelor,88125
13.7,Master,66710
6.4,Bachelor,113091
13.2,PhD,77232
12.5,Master,88803
3.9,,109555
4.9,PhD,117877
12.8,Bachelor,98526
3.4,PhD,57743
6.0,Master,104622
16.9,Master,112377
7.2,Master,98973
10.3,Master,120000
18.9,Master,67454
,Bachelor,57663
8.4,PhD,80024
12.5,Master,104749
15.4,,76100
18.1,Master,93634
18.4,Master,76138
15.8,PhD,97819
5.3,Bachelor,105486
1.5,Master,59063
8.3,Master,101905
3.7,Bachelor,105251
14.5,PhD,96416
13.6,PhD,77057
1.8,Bachelor,40000
16.9,PhD,114132
,PhD,70674
9.2,Master,66137
13.7,Bachelor,63882
9.2,Bachelor,84925
9.4,Bachelor,102507
2.2,Bachelor,97177
8.6,Bachelor,78836
15.5,Master,100622
18.4,Master,110654
8.9,Bachelor,71871
9.0,Bachelor,49637
,PhD,120000
18.9,Bachelor,94218
6.1,Bachelor,105630
9.4,PhD,46138
16.1,Bachelor,110019
12.6,,87728
,PhD,109876
12.9,PhD,120000
4.5,PhD,118604
10.7,PhD,118952
11.1,Master,44528
,PhD,120000
9.8,Master,47724
6.3,Bachelor,111266
5.4,,67177
17.6,Master,91976
4.2,PhD,61094
9.1,Master,109329
4.6,PhD,52186
15.7,Bachelor,74078
10.0,Master,110354
7.7,Master,93357
7.9,PhD,54764
17.2,PhD,82558
11.5,Bachelor,46364
14.6,Master,104989
18.0,Bachelor,119308
18.1,Master,93571
7.2,PhD,62459
19.1,PhD,77786
1.5,PhD,120000
8.2,Bachelor,53002
18.0,PhD,91040
6.2,,59978
,Bachelor,97413
6.7,Bachelor,114977
12.6,Master,77352
,PhD,92911
14.8,PhD,89740
18.0,Master,69303
13.8,Master,72785
4.9,Bachelor,92206
18.7,Bachelor,58695
6.0,Master,106861
3.8,Master,40941
,Master,50416
11.7,Bachelor,81262
3.2,Bachelor,56858
3.6,PhD,83010
6.7,PhD,78500
6.4,PhD,99222
12.5,Master,119704
16.5,Master,107472
15.5,Master,61259
6.0,Master,120000
5.7,PhD,80891
19.4,PhD,89357
1.2,Bachelor,69090
17.7,Master,64446
,PhD,111604
19.0,PhD,76456
,PhD,81406
9.4,Bachelor,61991
14.4,PhD,118153
12.2,Bachelor,108930
7.0,Master,65551
11.5,PhD,97483
,PhD,107808
1.8,Master,88571
1.2,PhD,90175
9.7,Bachelor,85921
3.5,PhD,50981
13.6,PhD,99186
5.1,Master,84533
9.2,Bachelor,84042
4.8,Master,104903
11.4,Master,40649
3.2,Bachelor,67805
1.4,Master,52461
2.0,Master,40000
,PhD,75700
3.7,PhD,120000
14.5,Master,78484
2.3,Bachelor,92609
3.1,PhD,58937
10.7,Master,85613
9.8,Bachelor,120000
19.1,PhD,76797
,Master,120000
15.8,Bachelor,120000
12.4,Master,91809
9.6,Master,63276
7.8,PhD,96212
19.0,Master,105982
12.5,Master,54353
,Bachelor,81930
5.4,Bachelor,66916
1.9,Master,63620
19.0,Bachelor,110600
7.0,PhD,69970
9.4,Bachelor,70856
3.2,Master,92636
16.9,PhD,60664
1.5,PhD,59174
,Master,95873
3.7,Master,81149
17.8,PhD,64516
,Bachelor,48362
4.1,Bachelor,90166
11.8,PhD,110786
6.9,Master,110335
4.4,PhD,68618
17.3,Master,99596
8.7,Master,117257
8.6,Bachelor,73968
4.2,Bachelor,119145
8.3,PhD,120000
17.6,PhD,64681
7.9,Bachelor,61070
19.1,Master,67815
19.0,Bachelor,71611
,PhD,120000
4.4,Bachelor,113938
17.4,PhD,51001
8.5,Master,86392
1.1,PhD,89058
6.2,Bachelor,67733
12.4,Bachelor,91622
,Bachelor,120000
3.5,Bachelor,56620
3.1,Bachelor,41509
18.5,Master,57572
15.3,Bachelor,68261
12.2,PhD,68865
15.6,PhD,75950
,Master,81188
15.4,Bachelor,100761
8.1,PhD,72436
,Master,57307
,Master,112769
9.0,,111844
19.6,Bachelor,75723
,Bachelor,69885
18.5,Master,110576
,Master,47459
5.6,Master,68766
16.2,Master,84471
9.2,,55208
18.4,PhD,63218
9.6,Master,87855
15.1,Bachelor,102971
9.9,Bachelor,100754
5.3,Master,120000
4.8,Bachelor,48930
9.1,Master,53019
15.4,PhD,110288
12.5,Master,83508
14.1,PhD,75650
6.4,Bachelor,67903
10.1,Bachelor,64583
1.8,Master,81799
16.5,Master,54479
19.8,Master,116980
8.7,Bachelor,61303
1.2,Bachelor,120000
4.2,Bachelor,111794
13.4,Bachelor,83632
12.6,Master,101826
16.0,PhD,105646
5.8,PhD,65170
15.5,Master,66801
14.1,Master,94344
7.1,Bachelor,99691
,PhD,83433
,Master,81480
,Bachelor,77176
17.7,PhD,95262
9.0,Master,71895
17.0,Master,107918
12.2,Master,115326
4.6,Bachelor,95698
12.0,PhD,111347
,Bachelor,89998
8.6,Master,94946
3.3,Master,86243
8.9,PhD,43391
2.4,PhD,120000
,PhD,45882
8.9,PhD,74734
6.8,PhD,51194
18.6,Master,57715
,Bachelor,101924
15.4,PhD,80459
11.1,Bachelor,111914
,Master,68879
5.9,,58539
18.9,,68649
11.1,Bachelor,94806
16.8,Bachelor,115186
7.9,PhD,77773
2.9,PhD,71417
13.8,,120000
1.1,Bachelor,46442
10.0,PhD,86955
4.7,,80061
12.9,Master,58474
19.6,Master,68380
9.8,,40000
16.5,PhD,120000
10.6,Bachelor,92603
10.4,Bachelor,108621
18.7,Bachelor,80917
17.9,Master,93851
15.9,Bachelor,94870
6.6,Bachelor,117030
11.4,PhD,51610
5.3,,68468
9.4,Master,93356
10.2,Master,120000
16.8,Bachelor,120000
18.0,PhD,99883
8.9,PhD,57480
1.3,Master,43173
17.4,PhD,120000
4.3,Master,75646
,PhD,63889
1.5,PhD,116386
8.6,,50350
19.7,Bachelor,96758
2.9,,94133
,PhD,48765
6.8,PhD,78743
,Bachelor,58205
,Master,97920
,Bachelor,78575
2.5,Bachelor,42098
12.9,,118973
7.4,Bachelor,64295
13.8,Master,66372
1.6,Bachelor,61127
3.5,Bachelor,44026
14.0,Bachelor,120000
5.0,Master,75819
17.3,Bachelor,80027
2.1,Master,119526
5.1,Bachelor,89710
20.0,PhD,76206
9.2,Master,120000
14.4,Bachelor,107415
4.5,PhD,62110
12.6,Bachelor,88966
14.8,PhD,120000
7.0,Bachelor,94368
16.7,Bachelor,95839
12.5,PhD,120000
8.4,Bachelor,95411
11.6,PhD,53007
12.0,Master,66012
4.1,PhD,85810
8.7,PhD,67468
7.5,PhD,113797
8.6,Bachelor,77388
15.5,Bachelor,92397
,PhD,98990
18.9,PhD,89766
6.6,PhD,74954
,Bachelor,53733
16.0,Bachelor,94543
,Bachelor,117428
11.4,Master,97249
2.0,,73287
8.6,Bachelor,40000
6.1,Bachelor,110474
20.0,Bachelor,115250
6.9,Master,72993
17.8,Bachelor,107357
13.8,PhD,72320
,Bachelor,87878
11.3,Master,111186
17.0,Bachelor,59039
17.8,Bachelor,83252
4.0,Bachelor,49305
7.5,Bachelor,69289
7.4,Master,98209
,PhD,49072
12.4,Bachelor,85548
17.2,Master,61212
8.2,,95957
15.1,Master,59938
12.9,PhD,108063
8.1,Bachelor,101941
3.7,PhD,119942
14.5,Master,109524
17.2,Master,75307
14.0,Bachelor,47361
1.3,Bachelor,94230
5.1,PhD,96596
2.3,PhD,52202
11.8,,54739
15.4,Master,98778
3.1,Bachelor,116636
16.9,,114312
11.6,Bachelor,54432
14.1,,79579
19.5,PhD,48762
2.6,,82754
18.1,Master,107967
3.4,PhD,109125
,Bachelor,89671
17.2,Bachelor,54612
18.2,PhD,79326
10.6,PhD,120000
12.3,Bachelor,61385
14.5,,71491
16.8,PhD,114602
3.3,Bachelor,96617
16.4,Master,115958
10.1,,80504
9.6,Bachelor,81217
9.1,Master,82701
,Master,115971
19.0,Bachelor,98849
11.4,PhD,113926
19.1,Master,63453
4.4,Master,105857
14.8,Bachelor,71670
16.4,Bachelor,47332
13.9,Bachelor,45197
12.5,Master,86385
11.7,Master,74366
17.4,Master,118757
16.6,Master,111110
3.3,Master,53008
17.1,Bachelor,103335
8.9,Bachelor,62726
5.8,PhD,72123
17.5,PhD,106337
9.2,PhD,120000
16.4,Bachelor,79572
6.0,Master,111387
1.1,PhD,108872
10.4,Master,85134
2.9,PhD,83192
15.3,PhD,99897
6.2,Bachelor,41901
9.4,PhD,120000
2.7,Master,94295
6.4,Master,48387
15.8,Master,120000
3.9,Master,58395
13.3,Master,118709
18.4,Bachelor,64950
,Master,98172
16.4,Bachelor,78257
3.1,PhD,104655
5.8,PhD,54273
18.0,Bachelor,71461
14.6,PhD,50598
13.2,Master,112074
13.6,PhD,74299
8.9,PhD,99343
,PhD,107520
15.9,Bachelor,113666
13.9,Bachelor,48529
10.0,Bachelor,116212
18.1,Bachelor,63628
7.4,Bachelor,102307
6.6,Bachelor,97207
17.6,Bachelor,44952
16.1,,70459
10.8,PhD,78487
3.5,Bachelor,84082
5.1,Bachelor,115514
13.5,PhD,74928
8.3,Master,120000
16.9,PhD,74488
19.0,Master,120000
16.3,Master,114667
8.2,Bachelor,114246
16.0,Master,44178
7.7,Bachelor,93022
4.2,PhD,63906
1.6,Master,73503
8.3,PhD,88334
18.2,,111639
5.5,PhD,56762
4.9,PhD,87092
,Master,85281
1.5,Master,52399
15.9,Bachelor,90094
7.1,Bachelor,98541
1.7,Master,40314
18.4,Master,112750
3.7,Bachelor,83380
11.5,Master,113594
6.2,Bachelor,67095
2.2,Master,100527
,PhD,55673
3.2,PhD,75233
2.4,PhD,58775
15.5,Master,118803
10.2,Bachelor,95596
7.5,Master,40000
8.9,PhD,40000
18.6,Bachelor,75038
18.3,Master,56594
14.6,,97654
17.8,Bachelor,96018
7.1,Master,113177
8.2,Bachelor,120000
12.7,Master,99661
12.8,PhD,46109
10.2,Bachelor,73289
8.6,Master,80328
19.7,Master,92647
16.6,Bachelor,99709
9.3,Master,120000
14.8,,114895
6.1,,50839
2.9,Bachelor,69992
7.7,PhD,118364
8.7,Master,120000
1.3,,61517
16.5,PhD,102045
7.8,,98274
12.0,PhD,86516
2.4,Bachelor,56124
4.3,PhD,113433
17.9,Bachelor,105935
,PhD,59845
19.1,Bachelor,96038
20.0,PhD,102816
8.1,PhD,117615
6.7,Bachelor,74850
17.3,Master,120000
20.0,Master,58197
13.0,Master,105479
,Bachelor,94982
15.9,,82063
7.8,Master,91222
11.9,Master,111585
16.8,Bachelor,95115
14.1,Bachelor,81568
1.4,Master,44598
7.4,Bachelor,50653
3.7,Bachelor,48180
,Bachelor,113733
18.2,Master,105864
,Bachelor,120000
5.2,Bachelor,44981
6.9,PhD,95529
12.7,Master,50899
11.1,Bachelor,109957
,Bachelor,71887
4.1,PhD,50717
5.5,Bachelor,92173
10.5,Bachelor,64663
6.2,Bachelor,102666
19.0,PhD,97565
,Bachelor,95436
2.1,PhD,118508
14.9,PhD,77211
7.2,Master,80897
13.4,Master,103260
6.3,,91643
11.8,PhD,52347
,Bachelor,104828
18.6,PhD,50094
6.0,PhD,61303
7.4,Bachelor,44939
,PhD,50594
18.6,Bachelor,53075
18.1,PhD,61808
2.7,Bachelor,78404
3.5,Bachelor,60431
10.4,PhD,53735
3.0,PhD,101150
7.6,Bachelor,66035
3.8,PhD,40000
13.1,PhD,84955
19.0,Master,68999
19.9,Bachelor,67160
8.1,Master,78783
12.4,PhD,105191
17.3,PhD,99055
3.2,,117352
14.1,Master,88909
8.8,Bachelor,82783
4.9,Master,59472
8.7,Master,107699
2.4,Master,50183
14.2,PhD,89805
5.8,PhD,82730
6.9,Master,99729
3.3,PhD,120000
17.4,Bachelor,120000
10.4,Bachelor,62411
11.9,Master,54657
11.8,Master,114239
8.8,Bachelor,93979
4.7,,74543
15.2,Bachelor,97741
3.4,PhD,98605
3.0,Bachelor,113923
,Bachelor,87734
,Bachelor,79627
6.8,Master,82970
10.0,Master,113558
9.5,Bachelor,87909
14.5,Master,99417
,PhD,120000
13.2,,101751
14.6,Bachelor,80629
6.6,Master,96138
7.1,Bachelor,88564
9.3,Master,49587
,Bachelor,76159
19.7,Master,105163
16.5,Bachelor,79574
4.1,Master,108494
1.1,PhD,76168
1.8,,120000
5.6,PhD,68013
3.2,PhD,52247
,Master,82539
17.3,Master,88812
15.0,Master,70220
5.1,Bachelor,51614
8.6,Master,98357
10.6,PhD,75565
16.4,Master,93377
16.9,PhD,110708
18.3,Bachelor,110650
10.7,Bachelor,78794
14.2,PhD,85016
3.1,PhD,78098
11.7,Bachelor,117979
5.7,PhD,120000
9.2,PhD,69173
13.0,Master,59630
5.9,PhD,51426
,PhD,78701
1.2,Master,85591
1.4,Master,102277
1.2,Master,66049
3.1,Master,94280
5.6,Master,117532
5.2,Master,87535
19.7,Bachelor,49782
6.8,Bachelor,90964
3.4,PhD,92313
11.4,PhD,119113
17.3,Bachelor,66944
,Master,81906
6.6,PhD,87921
11.7,Master,89002
14.6,Master,109057
14.8,Bachelor,49508
13.7,Master,98033
17.5,PhD,57233
17.5,PhD,72383
12.0,PhD,99866
9.2,Bachelor,48639
13.2,Bachelor,66652
16.5,Master,101114
1.1,Master,92474
19.8,Bachelor,54564
4.5,Master,81629
9.9,PhD,52022
,Bachelor,71122
5.3,,68290
10.1,Bachelor,54859
3.5,Master,120000
8.5,Bachelor,56580
4.4,Master,113115
7.9,PhD,111101
8.1,Bachelor,120000
19.9,Bachelor,80555
19.9,PhD,118350
3.2,PhD,119397
14.8,Master,63276
2.0,PhD,78296
1.6,PhD,42620
3.0,Master,92430
19.3,Master,94766
,Bachelor,52879
4.7,Master,106689
4.1,Master,40000
5.6,PhD,112312
10.8,PhD,40000
11.8,Bachelor,105711
5.2,Master,47670
15.4,Master,61893
6.9,Master,99908
18.5,Master,72263
13.5,Bachelor,89396
9.3,,117638
16.0,Bachelor,41577
16.5,PhD,106774
6.5,Bachelor,48603
7.5,Master,58830
18.8,PhD,63772
4.1,Master,120000
1.8,Bachelor,59791
,Master,120000
16.2,Bachelor,120000
15.7,Bachelor,80022
18.5,,95001
11.1,Bachelor,110470
2.9,Bachelor,74587
12.2,Master,61358
15.8,PhD,88746
2.8,Bachelor,104383
4.3,Master,104738
1.2,Master,54953
12.3,Master,57704
17.8,Bachelor,120000
13.7,Bachelor,49018
19.7,PhD,108908
,PhD,52171
