area,rooms,rent,distance,left_fast
1516.0,4,79556.0,15.25,0
1387.3,3,54292.0,18.57,0
1421.5,3,47808.0,2.26,1
540.0,1,20916.0,13.13,0
529.4,1,16240.0,12.3,0
1695.0,4,48607.0,23.08,1
926.5,2,24949.0,12.59,0
786.4,2,16554.0,11.97,1
1058.4,3,38497.0,24.07,0
1311.2,4,66671.0,11.54,1
1735.7,5,71712.0,4.93,1
765.3,2,28527.0,5.81,1
1691.0,4,57254.0,2.83,1
386.0,1,13581.0,0.51,1
1155.0,3,29733.0,11.08,1
1269.3,3,61496.0,19.35,0
503.6,2,12761.0,18.47,1
553.5,1,24639.0,1.29,0
957.7,2,44169.0,14.46,0
1751.0,4,68762.0,4.28,1
1214.3,3,60628.0,23.56,0
1702.9,4,48990.0,4.6,0
1516.3,4,76755.0,15.85,0
1027.7,3,46234.0,8.49,0
1487.9,3,70755.0,16.22,0
375.9,1,16009.0,10.6,0
508.3,1,25067.0,19.11,0
1552.7,3,85002.0,6.15,0
1505.4,4,50500.0,22.69,0
687.3,1,33069.0,12.76,0
1119.6,2,50997.0,19.02,0
1228.7,2,42705.0,21.32,1
1608.2,3,84104.0,24.97,0
1224.5,3,39911.0,5.99,0
948.2,2,36906.0,7.53,0
892.6,2,19566.0,6.64,1
967.5,2,25497.0,6.94,1
1295.3,3,63607.0,14.77,0
1607.9,4,52534.0,24.84,1
1008.2,2,32848.0,24.76,0
709.4,2,19226.0,13.41,1
693.2,1,25087.0,16.16,1
1431.7,3,68457.0,21.57,0
1534.0,2,78420.0,23.36,0
502.7,1,10353.0,5.49,1
446.5,1,17533.0,13.45,0
1211.9,3,42767.0,20.9,1
562.0,2,22889.0,7.93,0
1545.8,4,53406.0,11.28,1
800.0,2,26200.0,24.65,0
558.6,1,19808.0,24.63,0
1685.4,3,66631.0,22.7,0
590.0,1,21556.0,20.06,0
762.8,2,27056.0,7.09,0
572.7,1,27638.0,8.36,1
517.5,2,23592.0,13.91,1
380.7,1,11661.0,14.24,1
430.3,1,20491.0,12.88,0
603.2,2,29910.0,16.1,0
427.4,1,10120.0,10.5,1
1207.2,3,47756.0,18.85,0
1337.0,3,38180.0,8.67,1
920.8,2,41758.0,8.6,1
811.1,2,21766.0,3.62,1
1081.6,3,46338.0,5.12,1
1618.8,3,44419.0,21.34,1
1584.1,4,58473.0,11.43,0
413.0,1,21930.0,6.08,0
613.2,1,19689.0,19.1,0
693.3,2,34944.0,14.07,0
711.6,3,38794.0,1.02,0
1178.3,2,59350.0,8.25,0
953.6,3,23017.0,4.84,1
421.4,1,20365.0,16.57,0
891.7,2,17111.0,7.24,1
1109.4,3,36113.0,2.09,1
497.4,1,24978.0,1.85,1
1558.5,3,67770.0,14.75,0
425.3,2,16039.0,1.03,1
1691.0,4,54705.0,21.3,0
493.7,2,23725.0,4.31,0
1573.2,3,69620.0,15.36,0
1658.8,4,58607.0,11.39,0
1770.4,3,90329.0,11.35,0
1512.9,4,40104.0,2.26,1
1480.2,4,35975.0,20.17,0
1281.6,3,53550.0,22.38,0
1479.5,3,79839.0,0.77,1
545.1,1,14799.0,4.88,1
1127.3,2,30705.0,22.65,0
1095.6,2,25376.0,13.96,0
1593.5,3,79421.0,4.18,1
1021.1,2,26933.0,5.47,1
908.4,3,33263.0,16.67,0
1277.4,4,69826.0,18.26,0
736.4,1,13586.0,15.19,1
552.7,2,21329.0,23.85,0
1042.9,2,38540.0,12.6,0
954.5,2,45697.0,7.86,1
687.2,2,21403.0,12.19,1
882.9,2,29297.0,9.31,1
881.3,2,21340.0,6.0,1
824.9,2,37459.0,1.63,0
900.2,1,42340.0,9.13,0
1344.3,2,30995.0,17.93,1
780.5,2,25411.0,0.95,0
1725.8,4,88080.0,11.26,0
1678.7,3,30385.0,16.28,1
1047.3,2,30428.0,15.45,1
826.1,2,31835.0,19.53,0
1126.4,3,34199.0,20.36,0
1580.4,3,44355.0,17.94,0
1296.3,3,45398.0,3.02,0
1516.4,4,37480.0,12.14,1
1122.4,3,42198.0,15.28,0
1267.7,3,55966.0,6.52,0
767.8,2,30164.0,1.54,1
1415.6,4,30358.0,5.98,1
643.5,2,31688.0,11.64,0
1357.5,3,33224.0,10.64,0
1598.0,4,73984.0,4.83,0
541.5,1,16971.0,20.7,0
1240.9,3,58275.0,23.18,0
487.9,1,12506.0,5.43,1
1402.3,3,34926.0,23.27,0
472.5,2,17194.0,0.94,1
1707.1,4,32808.0,23.16,0
549.2,2,14464.0,23.82,0
1740.4,4,77950.0,0.8,1
1511.3,3,74028.0,19.19,0
1210.8,3,25414.0,24.27,1
1484.8,3,75186.0,22.69,0
1502.9,3,71400.0,24.28,0
1721.7,4,86392.0,13.98,0
717.4,1,31452.0,2.41,1
1205.6,3,51773.0,21.32,0
487.8,1,18258.0,15.54,0
1243.4,3,52413.0,15.56,0
598.4,1,31121.0,10.72,0
1169.2,2,25394.0,14.51,0
1180.0,3,35026.0,4.26,1
1025.7,2,21212.0,18.62,0
1107.8,2,58667.0,2.34,1
1457.7,4,50254.0,18.38,1
1508.9,3,64864.0,21.3,0
1063.6,2,52246.0,12.08,0
1219.4,2,66661.0,12.99,0
1700.3,3,40783.0,8.15,1
523.6,1,24914.0,24.25,0
519.8,1,26424.0,18.46,0
477.2,2,9453.0,9.54,1
1303.9,3,59851.0,4.78,0
957.0,3,29786.0,5.88,1
1472.8,3,61855.0,11.87,1
1323.3,3,48988.0,23.59,0
833.8,2,23022.0,18.49,0
1652.6,4,38015.0,5.77,1
1455.7,4,32501.0,21.56,0
742.3,1,16199.0,9.77,1
878.1,1,36527.0,21.37,0
805.9,2,24985.0,6.42,1
578.5,1,15050.0,15.66,0
564.3,2,24603.0,23.2,0
1707.4,4,74124.0,6.82,0
985.0,2,37380.0,17.48,0
905.8,3,47639.0,24.69,0
1408.0,4,45423.0,4.19,1
1151.8,3,56354.0,2.67,1
1707.4,4,35480.0,17.02,1
1481.4,3,67217.0,8.82,1
1045.1,2,57034.0,2.25,0
895.7,2,44180.0,12.14,0
1780.6,4,70240.0,18.97,1
1390.8,3,57288.0,7.49,1
1729.2,5,53729.0,8.71,0
521.8,1,22511.0,21.22,1
1583.3,3,73631.0,13.24,0
1273.8,2,69976.0,21.15,0
526.8,1,19081.0,11.44,1
1203.0,3,24383.0,23.85,1
1344.8,2,53855.0,16.44,0
367.8,1,8240.0,3.34,0
1008.8,2,27294.0,22.18,1
1546.8,5,46659.0,12.49,1
778.3,3,35061.0,3.97,0
1014.9,2,25170.0,4.24,1
991.4,2,23925.0,17.34,1
787.8,1,15491.0,1.66,1
1681.7,3,84606.0,7.52,0
1482.9,3,64743.0,3.92,1
510.4,1,9942.0,11.31,1
1795.7,4,34202.0,10.65,1
1624.8,3,62833.0,13.29,1
761.7,1,21673.0,7.35,1
1563.5,4,62663.0,1.29,1
504.3,1,17187.0,15.55,0
1798.7,4,93825.0,9.66,1
1315.2,2,37679.0,16.46,1
1292.7,3,55752.0,3.16,0
481.1,1,9622.0,0.84,1
1650.7,4,88093.0,6.58,0
392.0,1,21281.0,11.69,0
699.2,1,31706.0,10.15,0
557.4,1,19628.0,20.35,1
1476.3,3,38590.0,9.76,1
637.4,2,30635.0,13.5,0
1670.4,4,75577.0,15.04,0
1301.6,4,34118.0,1.03,1
402.4,1,13961.0,13.12,0
357.9,1,12571.0,8.95,1
424.9,1,20640.0,10.82,0
1228.6,4,53201.0,2.96,1
1512.1,4,63202.0,19.68,0
695.9,1,29258.0,23.59,0
1581.6,3,44296.0,1.05,1
433.0,2,13749.0,15.23,0
1511.4,3,29759.0,19.21,1
1695.3,3,79877.0,7.48,0
1469.6,3,49997.0,19.8,0
1362.3,3,46611.0,15.99,1
1565.1,3,42380.0,23.26,1
408.2,1,10511.0,24.53,1
642.6,1,25543.0,1.54,0
531.1,1,14130.0,11.4,1
1081.6,2,22038.0,13.9,1
1430.5,4,66372.0,4.1,0
1263.5,3,40343.0,8.74,0
1584.1,4,50800.0,24.7,0
575.1,1,19530.0,0.9,1
1415.2,3,68151.0,11.59,0
629.9,1,18816.0,21.15,0
742.6,1,34195.0,8.44,0
1379.4,2,72782.0,12.26,0
1771.3,3,75195.0,24.46,0
1236.7,2,42013.0,12.13,1
429.0,1,19592.0,3.71,1
1243.6,3,43454.0,1.77,1
411.4,1,13714.0,23.66,0
1632.0,4,61095.0,7.01,0
1378.9,3,41030.0,12.85,0
601.0,2,13136.0,2.72,1
483.0,1,16108.0,10.88,1
616.1,2,13913.0,23.29,1
1771.0,4,58773.0,12.81,1
1014.9,2,39182.0,24.29,0
1486.9,4,77968.0,6.84,0
1272.8,3,24616.0,12.86,1
1180.0,2,48373.0,21.56,0
560.4,1,19578.0,11.48,0
1721.7,3,32281.0,7.35,1
786.9,2,21430.0,21.46,1
1188.1,3,26594.0,10.05,1
1364.7,3,35511.0,13.5,0
1291.4,3,36365.0,24.42,0
1713.9,4,56299.0,5.07,1
565.2,2,21237.0,7.88,1
1087.1,3,19608.0,1.26,1
935.8,3,22449.0,10.1,1
1037.5,2,22267.0,5.4,1
522.9,2,20047.0,17.16,0
544.4,1,16428.0,4.94,1
753.2,2,28841.0,17.03,0
791.8,2,20751.0,6.96,1
970.5,2,18339.0,9.2,1
1235.9,2,65293.0,9.05,1
1270.2,3,27954.0,18.06,1
947.1,1,21493.0,11.93,1
942.7,3,22080.0,9.35,1
665.6,2,36147.0,21.39,0
1203.0,2,49147.0,14.51,0
809.7,2,32858.0,5.74,0
402.3,1,21929.0,22.55,0
956.7,2,20351.0,8.89,1
1037.5,3,56084.0,1.45,0
677.1,1,17299.0,12.62,1
1180.1,3,48447.0,3.54,1
1170.4,2,39259.0,6.34,1
1367.9,4,44055.0,18.8,1
1289.5,3,67642.0,3.7,0
1296.0,3,30484.0,20.27,1
808.5,2,44380.0,23.45,0
1491.8,3,47779.0,15.36,1
1146.3,2,48150.0,17.9,0
975.6,2,52500.0,17.98,0
1257.7,3,25319.0,24.82,1
873.0,2,45523.0,8.87,0
1093.5,3,42656.0,4.49,0
1418.2,4,62490.0,13.22,1
1635.3,4,38462.0,13.56,1
1685.5,4,63603.0,4.86,0
1080.3,3,46366.0,15.52,0
1104.4,2,38523.0,0.85,0
1509.8,3,35834.0,23.23,0
806.0,1,21788.0,6.98,1
1564.2,4,77604.0,1.47,1
1066.5,3,20557.0,3.15,1
518.0,1,22910.0,6.39,0
454.5,2,24987.0,7.21,0
1570.9,2,28711.0,1.3,1
430.6,1,10317.0,7.34,1
756.9,2,32504.0,5.23,0
834.5,2,16873.0,9.78,1
600.8,1,23925.0,9.94,1
805.1,1,34867.0,8.81,1
1426.9,3,56736.0,8.53,0
371.3,2,11700.0,2.7,1
1549.4,4,67863.0,1.12,0
1592.0,4,63662.0,5.45,0
889.8,2,22852.0,19.04,0
572.7,1,22241.0,24.77,0
1221.2,2,61830.0,23.25,0
523.5,1,22339.0,12.85,0
879.1,2,31170.0,13.53,1
1739.7,3,52015.0,8.21,1
1793.4,4,37980.0,19.46,1
1469.6,3,39754.0,19.24,0
800.9,1,14748.0,21.18,1
1347.1,3,73424.0,22.44,0
1372.8,2,36011.0,11.14,1
912.4,2,43932.0,19.29,0
1279.3,3,31010.0,20.26,1
365.6,1,10417.0,8.06,1
653.1,1,21863.0,23.27,1
1111.4,2,33345.0,2.81,1
587.4,2,27924.0,24.86,0
590.6,1,31559.0,19.37,0
1562.6,3,78733.0,2.79,0
1784.2,3,42254.0,16.58,1
1156.2,3,54038.0,1.34,0
1566.7,3,36777.0,19.37,1
1786.0,4,92506.0,20.08,0
555.3,2,20636.0,15.26,0
1000.0,3,30446.0,21.49,0
919.2,2,21886.0,2.9,1
466.1,1,8593.0,7.26,1
1445.2,2,39272.0,10.65,0
979.0,3,50731.0,1.54,0
1030.5,2,48947.0,11.48,1
568.5,1,30632.0,7.0,0
612.3,1,13304.0,10.12,1
1665.3,3,66463.0,10.92,0
414.7,1,11410.0,22.05,1
687.6,2,26190.0,7.12,0
773.5,2,23094.0,22.4,0
1060.8,2,30220.0,10.94,1
1200.3,3,47091.0,8.53,1
1065.3,3,26401.0,12.81,1
472.0,1,16689.0,10.73,0
703.3,1,29595.0,6.81,1
1573.2,4,35779.0,12.82,1
1274.5,3,66825.0,4.22,1
1291.3,3,47406.0,9.12,0
1321.8,4,63873.0,14.36,0
1456.2,3,61444.0,10.63,1
434.3,1,19226.0,20.69,0
881.6,3,39228.0,6.79,1
1132.3,2,57044.0,24.26,1
840.8,1,34223.0,19.73,0
1574.5,4,44549.0,24.21,1
1049.7,3,22759.0,21.03,0
1464.5,3,59212.0,3.98,1
1585.4,3,32429.0,13.4,1
1081.9,4,29133.0,4.66,0
1668.9,4,33789.0,20.55,0
1201.3,2,46020.0,14.81,0
1582.9,4,37883.0,6.95,1
843.9,2,34250.0,23.28,0
1073.3,2,50726.0,3.32,0
1120.5,3,54243.0,14.31,0
502.2,1,14791.0,18.17,1
927.9,2,35549.0,1.94,1
1680.1,5,65241.0,15.15,0
1264.7,3,44893.0,20.49,0
607.4,1,25656.0,2.15,0
841.3,2,21683.0,13.05,0
627.8,1,34047.0,6.83,0
386.0,1,8349.0,16.74,1
1694.8,4,82505.0,3.41,0
999.9,3,39978.0,23.46,0
795.9,1,21537.0,22.42,1
1217.8,3,55519.0,5.06,0
360.6,1,7618.0,8.42,1
753.1,2,35135.0,14.9,0
1369.4,2,54542.0,18.09,0
1269.0,3,28042.0,11.35,1
1773.6,5,37142.0,4.33,1
1249.5,3,57203.0,3.05,1
1042.4,2,30061.0,24.99,0
1454.1,4,74020.0,11.66,0
1659.8,4,76677.0,21.88,0
1395.0,2,61147.0,12.32,0
1746.7,4,49446.0,23.1,0
1483.9,3,65634.0,2.65,0
1606.9,4,85297.0,3.29,0
515.5,1,11025.0,23.28,1
1412.0,3,42456.0,23.71,1
988.1,3,26365.0,8.21,0
1152.0,3,37498.0,9.2,0
1298.4,1,59033.0,11.59,0
1756.2,4,62428.0,10.7,1
1777.6,4,69534.0,5.16,1
767.9,1,22748.0,22.51,1
1413.9,3,32842.0,6.71,1
1437.5,4,40073.0,17.78,1
852.4,1,42456.0,2.15,0
529.6,1,21337.0,1.45,0
409.4,1,13095.0,16.52,0
1477.1,3,69758.0,8.81,0
1060.1,3,21610.0,16.56,1
1779.0,4,48734.0,2.8,1
1024.2,3,27155.0,23.77,1
1768.0,3,96283.0,18.84,0
946.8,3,41778.0,21.97,0
1500.8,4,61320.0,3.84,0
473.0,1,8601.0,8.34,1
1155.4,3,28676.0,9.52,1
1513.0,3,62812.0,13.66,0
1690.8,4,54189.0,7.77,1
1542.7,3,80526.0,1.99,0
403.6,1,18685.0,9.54,0
890.4,2,30766.0,6.74,1
420.6,1,19235.0,9.96,1
508.5,1,27505.0,5.33,0
1329.2,3,46597.0,6.92,0
1384.2,3,57823.0,15.86,0
1471.9,3,76525.0,10.01,0
1604.9,4,43655.0,8.96,1
1422.2,3,72252.0,13.58,0
1511.3,4,32658.0,19.41,1
421.0,1,17679.0,9.78,0
690.1,2,32411.0,14.89,0
1251.8,3,50999.0,24.17,0
1594.3,3,57929.0,13.29,0
356.5,2,14560.0,22.79,0
1096.2,3,25883.0,19.94,1
1332.1,3,34603.0,1.94,1
392.9,1,10996.0,11.01,1
932.0,2,37390.0,17.61,0
1648.7,4,56633.0,24.67,0
1323.8,3,35803.0,11.73,1
694.6,2,35191.0,2.77,0
1586.5,4,50506.0,14.27,0
854.6,1,29486.0,3.6,1
1587.3,4,52633.0,18.91,0
783.5,2,19377.0,12.94,1
1206.0,3,54355.0,18.22,0
925.6,2,32019.0,21.8,0
748.5,2,13923.0,15.91,1
1635.5,3,87775.0,15.5,0
622.0,1,29970.0,18.99,0
473.0,1,21177.0,21.14,0
845.8,2,42422.0,21.79,1
1390.6,3,71688.0,1.39,0
1520.8,3,46365.0,14.13,1
1798.2,3,73017.0,5.8,0
779.7,1,31598.0,21.58,0
941.5,3,26259.0,16.39,1
548.4,1,14375.0,10.8,1
1183.6,3,26293.0,5.11,1
1796.5,3,76162.0,8.81,1
1366.3,4,64071.0,17.74,0
1213.1,3,55991.0,5.51,1
918.9,2,27293.0,2.79,1
1677.2,5,42927.0,22.26,0
1070.5,3,37236.0,19.22,1
544.8,1,20829.0,5.39,0
879.8,2,45755.0,7.66,0
447.4,1,22535.0,24.32,0
642.9,2,33363.0,17.85,0
375.6,1,18577.0,15.46,0
1007.3,2,54081.0,8.04,0
1270.1,4,44737.0,7.83,0
847.8,2,16750.0,1.47,1
959.6,3,20240.0,18.35,1
1740.9,4,56475.0,1.56,1
1440.3,4,39658.0,0.62,1
1134.2,3,27547.0,18.37,1
762.6,2,40623.0,23.75,0
1650.6,3,41646.0,19.03,0
690.9,1,36961.0,12.06,0
821.7,2,37922.0,12.41,0
1668.1,4,69585.0,11.19,0
1117.8,3,48080.0,8.45,1
1426.4,3,43169.0,13.28,0
1206.6,2,50578.0,11.06,1
1297.5,2,32318.0,15.16,1
784.1,1,41318.0,22.5,0
700.0,2,20416.0,24.88,0
817.6,2,22436.0,2.43,1
575.4,1,25498.0,9.92,1
1617.8,2,68415.0,4.93,0
760.7,2,26395.0,9.13,1
1164.2,3,48198.0,7.54,0
1498.4,4,35814.0,4.78,1
1486.5,3,63790.0,19.22,0
985.7,2,27612.0,12.66,1
1040.6,3,29236.0,23.02,0
1792.3,4,43016.0,1.3,1
1328.2,3,40242.0,2.14,0
1531.2,3,46328.0,10.38,1
1658.7,4,57730.0,2.47,0
1492.0,4,37368.0,6.94,1
618.5,1,15550.0,24.66,0
1165.1,3,44325.0,5.62,1
497.7,1,11332.0,5.35,1
1296.7,3,56392.0,14.55,0
1735.3,4,91843.0,12.7,1
1093.5,2,36951.0,14.72,0
977.8,2,50201.0,9.73,0
402.0,1,8698.0,20.76,1
1741.7,3,34119.0,3.9,1
499.4,1,22319.0,11.0,0
409.6,1,18906.0,17.4,0
706.8,2,34770.0,21.77,0
445.0,1,8946.0,9.55,1
1009.9,3,47208.0,14.41,0
1098.3,2,35071.0,2.19,1
803.2,2,23472.0,4.67,1
423.9,1,10344.0,2.19,1
511.8,2,28074.0,18.33,0
907.5,2,18473.0,7.56,1
437.8,1,21277.0,18.23,0
1362.4,3,56759.0,2.13,0
650.2,1,29388.0,21.63,0
788.0,2,34935.0,20.97,0
921.5,3,45856.0,2.68,1
954.1,2,23662.0,1.08,1
352.4,1,6354.0,1.88,1
512.5,1,20575.0,21.41,1
1601.0,4,49780.0,6.25,0
351.8,1,7944.0,13.93,1
1086.8,2,27047.0,10.94,1
1059.8,2,32085.0,19.99,1
833.0,1,17159.0,12.48,0
975.4,3,19611.0,12.77,0
1481.8,3,76895.0,24.73,0
1569.7,3,46381.0,4.18,1
727.5,1,39534.0,20.85,0
817.6,1,43890.0,1.77,0
701.6,1,16330.0,12.2,1
1045.8,2,46488.0,22.22,0
1340.7,3,53936.0,16.8,0
681.0,2,29660.0,17.29,0
829.6,2,17885.0,6.95,1
1699.1,4,42438.0,10.76,1
420.4,1,8759.0,9.48,1
1018.1,3,41083.0,13.28,0
1381.8,3,75313.0,11.82,1
568.2,1,24355.0,8.51,0
418.7,1,18548.0,7.98,0
550.4,1,29958.0,6.65,0
1682.3,5,72484.0,9.44,0
363.4,1,7081.0,4.17,1
623.1,2,31204.0,21.87,0
395.4,1,12452.0,15.25,1
510.4,1,9270.0,3.78,1
1249.2,4,45930.0,17.5,0
700.4,1,36890.0,21.27,0
1175.4,3,32348.0,6.32,1
1205.8,3,43633.0,4.19,1
1581.7,3,38641.0,0.71,1
356.9,1,7186.0,1.66,1
1587.4,3,33304.0,19.18,1
1247.7,2,56021.0,24.69,0
586.0,1,29283.0,1.6,0
1470.8,4,34273.0,18.83,0
1590.5,4,45596.0,2.26,0
718.7,1,18123.0,15.01,0
1682.3,3,31953.0,19.02,1
1009.0,2,38823.0,9.3,0
1225.0,3,53774.0,0.77,1
1777.7,3,74613.0,15.08,0
874.2,2,28287.0,24.79,0
1529.1,3,58924.0,6.81,1
811.7,2,17437.0,5.14,1
1508.9,4,35775.0,3.54,1
1221.1,3,64079.0,14.1,0
663.7,1,30647.0,15.11,0
950.3,2,49550.0,19.91,0
810.6,1,42084.0,18.95,0
463.3,1,19471.0,22.37,0
393.3,1,20587.0,20.24,0
